time,mean_gray
2024-06-13T23:00:15.031580,26
2024-06-13T23:10:14.835965,26
2024-06-13T23:20:14.837112,26
2024-06-13T23:30:15.035841,26
2024-06-13T23:40:15.032512,26
2024-06-13T23:50:15.033929,26
2024-06-14T00:00:15.096493,26
2024-06-14T00:10:15.034013,26
2024-06-14T00:20:14.834852,26
2024-06-14T00:30:15.031416,26
2024-06-14T00:40:15.030881,26
2024-06-14T00:50:14.835060,26
2024-06-14T01:00:15.030548,26
2024-06-14T01:10:14.836149,26
2024-06-14T01:20:15.030391,26
2024-06-14T01:30:15.030651,26
2024-06-14T01:40:15.030865,26
2024-06-14T01:50:15.030898,26
2024-06-14T02:00:15.062620,26
2024-06-14T02:10:15.001744,26
2024-06-14T02:20:15.030460,26
2024-06-14T02:30:15.030722,26
2024-06-14T02:40:15.030877,26
2024-06-14T02:50:15.030973,26
2024-06-14T03:00:15.031068,26
2024-06-14T03:10:15.030272,26
2024-06-14T03:20:15.030398,26
2024-06-14T03:30:15.030192,26
2024-06-14T03:40:15.030799,26
2024-06-14T03:50:15.031066,26
2024-06-14T04:00:14.866791,26
2024-06-14T04:10:14.835080,26
2024-06-14T04:20:15.030001,26
2024-06-14T04:30:15.030220,26
2024-06-14T04:40:14.905026,26
2024-06-14T04:50:14.998386,26
2024-06-14T05:00:15.030397,26
2024-06-14T05:10:15.030416,26
2024-06-14T05:20:15.030191,26
2024-06-14T05:30:15.030199,26
2024-06-14T05:40:15.029574,26
2024-06-14T05:50:15.030338,26
2024-06-14T06:00:15.030187,26
2024-06-14T06:10:15.030173,26
2024-06-14T06:20:15.030623,26
2024-06-14T06:30:15.030358,26
2024-06-14T06:40:14.834964,26
2024-06-14T06:50:15.030636,26
2024-06-14T07:00:15.062242,26
2024-06-14T07:10:15.030115,26
2024-06-14T07:20:15.030319,26
2024-06-14T07:30:14.802354,26
2024-06-14T07:40:14.834526,26
2024-06-14T07:50:15.030778,26
2024-06-14T08:00:15.062137,26
2024-06-14T08:10:15.030213,26
2024-06-14T08:20:15.030239,26
2024-06-14T08:30:15.030272,26
2024-06-14T08:40:15.030510,26
2024-06-14T08:50:15.030547,26
2024-06-14T09:00:15.030221,26
2024-06-14T09:10:15.030343,26
2024-06-14T09:20:15.062288,26
2024-06-14T09:30:15.030162,26
2024-06-14T09:40:15.030206,26
2024-06-14T09:50:14.998632,26
2024-06-14T10:00:15.030341,26
2024-06-14T10:10:15.030432,26
2024-06-14T10:20:15.030290,26
2024-06-14T10:30:14.998278,26
2024-06-14T10:40:15.030517,26
2024-06-14T10:50:14.998508,26
2024-06-14T11:00:15.030324,26
2024-06-14T11:10:15.030302,26
2024-06-14T11:20:15.062456,26
2024-06-14T11:30:15.030297,26
2024-06-14T11:40:15.030545,25
2024-06-14T11:50:15.030541,26
2024-06-14T12:00:15.030295,26
2024-06-14T12:10:14.880341,26
2024-06-14T12:20:15.062501,25
2024-06-14T12:30:15.030542,26
2024-06-14T12:40:14.998647,26
2024-06-14T12:50:15.030750,26
2024-06-14T13:00:15.030304,26
2024-06-14T13:10:15.030937,26
2024-06-14T13:20:15.062895,26
2024-06-14T13:30:15.030639,26
2024-06-14T13:40:15.031085,26
2024-06-14T13:50:15.030878,25
2024-06-14T14:00:15.062671,26
2024-06-14T14:10:15.030544,26
2024-06-14T14:20:15.030602,26
2024-06-14T14:30:15.031055,26
2024-06-14T14:40:15.062684,25
2024-06-14T14:50:15.030734,26
2024-06-14T15:00:15.030495,26
2024-06-14T15:10:15.030325,26
2024-06-14T15:20:15.030629,26
2024-06-14T15:30:15.031083,25
2024-06-14T15:40:15.030740,25
2024-06-14T15:50:07.159510,25
